Title,imdbRating,imdbVotes,Metascore,Runtime,Year,Genre1,Genre2,Rated,Director,Actors1,Actors2,Country,Writer,Awards,Released,imdbID,Plot,Poster
American Psycho II: All American Girl,3.9,12319,N/A,88,2002,Horror,Thriller,R,Morgan J. Freeman,Mila Kunis,William Shatner,USA,"Alex Sanger (screenplay), Karen Craig (screenplay)",N/A,10-Jun-02,tt0283877,A girl named Rachael Newman has developed a taste for murder and will stand at nothing to become a college professor's assistant.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzUzODczNl5BMl5BanBnXkFtZTYwNjU3Mjc2._V1_SX300.jpg
Notorious,8,74609,N/A,101,1946,Drama,Film-Noir,APPROVED,Alfred Hitchcock,Cary Grant,Ingrid Bergman,USA,Ben Hecht,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,6-Sep-46,tt0038787,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@._V1_SX300.jpg
Revenge of the Nerds,6.6,40389,41,90,1984,Comedy,Comedy,R,Jeff Kanew,Robert Carradine,Anthony Edwards,USA,"Tim Metcalfe (story), Miguel Tejada-Flores (story), Steve Zacharias (story), Jeff Buhai (story), Steve Zacharias (screenplay), Jeff Buhai (screenplay)",N/A,10-Aug-84,tt0088000,"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect.",https://images-na.ssl-images-amazon.com/images/M/MV5BODU1NzM4NTA4Nl5BMl5BanBnXkFtZTgwMTkxMzcxMTE@._V1_SX300.jpg
Coral Reef Adventure,7,450,N/A,45,2003,Documentary,Documentary,N/A,Greg MacGillivray,Liam Neeson,Howard Hall,USA,"Jack Stephens (narration), Osha Gray Davidson, Stephen Judson",2 wins & 1 nomination.,14-Feb-03,tt0270291,"Take a once in a lifetime journey across the South Pacific for a spectacular IMAX adventure. Joy, ecstasy, a spiritual high: these words describe the exhilaration of diving a pristine coral...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MzcwMDczNF5BMl5BanBnXkFtZTcwMDc3NDQyMQ@@._V1_SX300.jpg
Electric Dreams,6.5,5355,N/A,95,1984,Comedy,Drama,PG,Steve Barron,Lenny von Dohlen,Virginia Madsen,USA,Rusty Lemorande,Nominated for 1 BAFTA Film Award. Another 2 wins & 1 nomination.,20-Jul-84,tt0087197,An artificially intelligent PC and his human owner find themselves in a romantic rivalry over a woman.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MjMxNzA2MV5BMl5BanBnXkFtZTgwMzI1MzQxMDE@._V1_SX300.jpg
1408,6.8,211413,64,104,2007,Fantasy,Horror,PG-13,Mikael HÌ´fstrÌ¦m,John Cusack,Paul Birchard,USA,"Matt Greenberg (screenplay), Scott Alexander (screenplay), Larry Karaszewski (screenplay), Stephen King (short story)",4 wins & 8 nominations.,22-Jun-07,tt0450385,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MDg0NTU0OV5BMl5BanBnXkFtZTcwMTM1NDk0MQ@@._V1_SX300.jpg
Under the Bed,4.6,2078,N/A,87,2012,Horror,Horror,R,Steven C. Miller,Jonny Weston,Gattlin Griffith,USA,Eric Stolze,N/A,3-Jul-13,tt1934458,"Two brothers team up to battle a creature under the bed, in what is being described as a ""suburban nightmare"" tale.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwODQ0MjEyNl5BMl5BanBnXkFtZTcwNzI3MzI4OQ@@._V1_SX300.jpg
Angel of Death,5,1826,N/A,77,2009,Action,Crime,R,Paul Etheredge,ZoÌÇ Bell,Jake Abel,USA,Ed Brubaker (created and written by),4 nominations.,7-Jul-09,tt1269734,"A career assassin becomes haunted by one of her victims following a near fatal injury to her brain. Becoming a rogue assassin settling the score with her former mob employers, chaos and power struggles ensue.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4ODI3NDQ5MV5BMl5BanBnXkFtZTcwNDEzNzA3Mg@@._V1_SX300.jpg
Viking Legacy,3.5,105,N/A,83,2016,Action,Adventure,N/A,Tom Barker,Hollie Burrows,James Cooke,UK,Victor Mawer,N/A,19-Sep-16,tt5555554,"In ancient times, there were seven sacred scrolls believed to grant power and prosperity to those who possessed them. Prophecy told that a child born in pure Royal blood would one day ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMzIyOTI5ZmQtMmQ3YS00NWM2LWFjNGItNWViZGUwZGJkMDQ5XkEyXkFqcGdeQXVyMTc3NTg3ODI@._V1_SX300.jpg
Mandela: Long Walk to Freedom,7.1,21565,60,141,2013,Biography,Drama,PG-13,Justin Chadwick,Idris Elba,Naomie Harris,UK,"William Nicholson (screenplay), Nelson Mandela (autobiography)",Nominated for 1 Oscar. Another 11 wins & 29 nominations.,25-Dec-13,tt2304771,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NTQ1NDczNV5BMl5BanBnXkFtZTcwNDQyMDU1OQ@@._V1_SX300.jpg
The Spirit of '45,7.1,816,N/A,94,2013,Documentary,History,N/A,Ken Loach,Winston Churchill,Tony Benn,UK,Ken Loach,2 nominations.,15-Mar-13,tt2332801,"A documentary on how the spirit of unity, which buoyed Britain during the war years, carried through to create a vision of a fairer, united society.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0Nzg4ODkzN15BMl5BanBnXkFtZTgwNjAzNDMzODE@._V1_SX300.jpg
Revolutionary Road,7.3,154760,69,119,2008,Drama,Romance,R,Sam Mendes,Kate Winslet,Leonardo DiCaprio,USA,"Justin Haythe (screenplay), Richard Yates (novel)",Nominated for 3 Oscars. Another 19 wins & 62 nominations.,23-Jan-09,tt0959337,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDgzMjczOV5BMl5BanBnXkFtZTcwOTU3MzMwMg@@._V1_SX300.jpg
American Reunion,6.7,173413,49,113,2012,Comedy,Comedy,R,Jon Hurwitz,Jason Biggs,Alyson Hannigan,USA,"Jon Hurwitz (screenplay), Hayden Schlossberg (screenplay), Adam Herz (characters)",1 win & 3 nominations.,6-Apr-12,tt1605630,"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MTEyMzU1N15BMl5BanBnXkFtZTcwNDQ0NTc1Nw@@._V1_SX300.jpg
Ghosts of the Abyss,6.9,4164,67,61,2003,Documentary,Family,PG,James Cameron,Bill Paxton,John Broadwater,USA,N/A,1 nomination.,18-Apr-03,tt0297144,"James Cameron and Bill Paxton, director and actor of the 1997 film Titanic, travel to the final undersea resting place of the ill-fated ship of dreams.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDM5MzY0MjY2MF5BMl5BanBnXkFtZTYwOTc5ODU3._V1_SX300.jpg
Inside the Walls of Folsom Prison,6.7,150,N/A,87,1951,Crime,Drama,APPROVED,Crane Wilbur,Steve Cochran,David Brian,USA,Crane Wilbur (original screenplay),N/A,18-May-51,tt0043677,Another in a unrelated series of Warner's penitentiary tours in three different decades. This one is California's notorious Folsom Prison prior to its 1944 reformation make-over. Ben Rickey...,N/A
In the Heat of the Night,8,50157,N/A,109,1967,Crime,Drama,APPROVED,Norman Jewison,Sidney Poitier,Rod Steiger,USA,"Stirling Silliphant (screenplay), John Ball (based on a novel by)",Won 5 Oscars. Another 17 wins & 14 nominations.,25-Oct-67,tt0061811,An African American police detective is asked to investigate a murder in a racially hostile southern town.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NjkxMDc1MV5BMl5BanBnXkFtZTcwMDIwMjI0NA@@._V1_SX300.jpg
Confessions of a Shopaholic,5.9,63712,38,104,2009,Comedy,Family,PG,P.J. Hogan,Isla Fisher,Hugh Dancy,USA,"Tracey Jackson (screenplay), Tim Firth (screenplay), Kayla Alpert (screenplay), Sophie Kinsella (books)",1 win & 3 nominations.,13-Feb-09,tt1093908,A college grad lands a job as a financial journalist in New York City to support where she nurtures her shopping addiction and falls for a wealthy entrepreneur.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MzcyMTkwOF5BMl5BanBnXkFtZTcwMDM3MTc5MQ@@._V1_SX300.jpg
Flatliners,6.5,62461,N/A,115,1990,Drama,Horror,R,Joel Schumacher,Kiefer Sutherland,Julia Roberts,USA,Peter Filardi,Nominated for 1 Oscar. Another 2 nominations.,10-Aug-90,tt0099582,"Four Medical students experiment on ""near death"" experiences that involve past tragedies until the dark consequences begin to jeopardize their lives.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MDE3NTM3Ml5BMl5BanBnXkFtZTgwNzgwNTg4NjE@._V1_SX300.jpg
Silent Partner,4.8,614,N/A,96,2005,Action,Crime,N/A,James D. Deck,Tara Reid,Nick Moran,Russia,"James D. Deck, Chris Larsen",N/A,26-May-05,tt0457475,"Gordon Patrick (Nick Moran), a young CIA analyst is assigned to investigate the mysterious death of a major Russian political figure.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwODY5OTczMF5BMl5BanBnXkFtZTcwMjk3MjQzMQ@@._V1_SX300.jpg
The Sound Barrier,N/A,N/A,N/A,8,2003,Short,Comedy,N/A,Joel Metlen,Dennis Mitcheltree,Mark Rapp,USA,Joel Metlen,N/A,15-Feb-03,tt0472182,N/A,N/A
16 Blocks,6.6,113324,63,102,2006,Action,Crime,PG-13,Richard Donner,Bruce Willis,Yasiin Bey,Germany,Richard Wenk,2 nominations.,3-Mar-06,tt0450232,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDEwMzEwMl5BMl5BanBnXkFtZTcwNzM4MTEzMw@@._V1_SX300.jpg
Kung Fu Panda 2,7.3,185729,67,90,2011,Animation,Action,PG,Jennifer Yuh Nelson,Jack Black,Angelina Jolie,USA,"Jonathan Aibel, Glenn Berger",Nominated for 1 Oscar. Another 5 wins & 44 nominations.,26-May-11,tt1302011,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MTQ3NTI3Nl5BMl5BanBnXkFtZTcwNzEzODQ2NA@@._V1_SX300.jpg
Brute Force,7.7,6459,N/A,98,1947,Crime,Drama,NOT RATED,Jules Dassin,Burt Lancaster,Hume Cronyn,USA,"Richard Brooks (screenplay), Robert Patterson (story)",N/A,30-Jun-47,tt0039224,"At a tough penitentiary, prisoner Joe Collins plans to rebel against Captain Munsey, the power-mad chief guard.",https://images-na.ssl-images-amazon.com/images/M/MV5BMmI2NjJhNDctZWI0Yi00NDc4LTg4NjItZmZmZGU3NGY1ZTZjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg
American Pie 2,6.4,201886,43,108,2001,Comedy,Comedy,R,J.B. Rogers,Jason Biggs,Shannon Elizabeth,USA,"Adam Herz (characters), David H. Steinberg (story), Adam Herz (story), Adam Herz (screenplay)",8 wins & 6 nominations.,10-Aug-01,tt0252866,"In this sequel to the hit comedy American Pie (1999), the high school students are now in college. These close friends decide to meet up at the beach house for some fun.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTEyYjhiMjYtNjU3YS00NmQ4LTlhNTEtYTczNWY3MGJmNzE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Revolver,6.5,74768,25,111,2005,Action,Crime,R,Guy Ritchie,Jason Statham,Ray Liotta,France,"Luc Besson (adaptation), Guy Ritchie",1 win.,22-Sep-05,tt0365686,Gambler Jake Green enters into a game with potentially deadly consequences.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1OTA3MjM4MF5BMl5BanBnXkFtZTYwMTMxODc4._V1_SX300.jpg
The Sons of Katie Elder,7.2,10619,N/A,122,1965,Western,Western,APPROVED,Henry Hathaway,John Wayne,Dean Martin,USA,"William H. Wright (screenplay), Allan Weiss (screenplay), Harry Essex (screenplay), Talbot Jennings (story)",1 win.,16-Aug-65,tt0059740,Ranch owner Katie Elder's four sons determine to avenge the murder of their father and the swindling of their mother.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NTA3MzI5M15BMl5BanBnXkFtZTcwNjg3MjEyMQ@@._V1_SX300.jpg
Prisoners,8.1,392734,74,153,2013,Crime,Drama,R,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,USA,Aaron Guzikowski,Nominated for 1 Oscar. Another 10 wins & 34 nominations.,20-Sep-13,tt1392214,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg
Maniac Cop,6,9865,N/A,85,1988,Action,Crime,R,William Lustig,Tom Atkins,Bruce Campbell,USA,Larry Cohen,N/A,13-May-88,tt0095583,A killer dressed in a police uniform begins murdering innocent people on the streets of New York City.,https://images-na.ssl-images-amazon.com/images/M/MV5BYjNlYTVhNTUtMzBhMi00MzcxLTg4M2MtMzRhZDkwM2YwMDM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Pleasure or Pain,4.5,1544,N/A,99,2013,Drama,Thriller,N/A,Zalman King,Malena Morgan,Christos Vasilopoulos,USA,Zalman King,N/A,5-Sep-13,tt2091327,A wealthy real estate developer takes a young woman from an everyday mundane life and shows her a world of decadence and debauchery that pushes her sexual limits to the brink.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2ODAxODkxNF5BMl5BanBnXkFtZTgwMjQ5NTk0MTE@._V1_SX300.jpg
Plunder of the Sun,6.5,476,N/A,81,1953,Action,Adventure,APPROVED,John Farrow,Glenn Ford,Diana Lynn,USA,"Jonathan Latimer (screen play), David Dodge (based on the novel by)",N/A,26-Aug-53,tt0046196,American adventurer gets involved in archaeological artifact smuggling and treasure hunting in Mexico.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTIwMTExMF5BMl5BanBnXkFtZTcwNDMwODIzMQ@@._V1_SX300.jpg
The Amazing Dr. Clitterhouse,7,1552,N/A,87,1938,Crime,Drama,APPROVED,Anatole Litvak,Edward G. Robinson,Claire Trevor,USA,"John Wexley (screen play), John Huston (screen play), BarrÌ© Lyndon (from the play by)",N/A,30-Jul-38,tt0029864,Black comedy about a brilliant Park Avenue doctor who becomes a criminal in order to do research into the criminal mind.,http://ia.media-imdb.com/images/M/MV5BNzAxOTU2MjA1Nl5BMl5BanBnXkFtZTgwMzc2OTcyMjE@._V1_SX300.jpg
Open Season 2,5.7,16459,N/A,76,2008,Animation,Adventure,PG,Matthew O'Callaghan,Joel McHale,Mike Epps,USA,David I. Stern,2 nominations.,24-Sep-08,tt1107365,"After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjczMDI0MV5BMl5BanBnXkFtZTcwMjY3NDcwMg@@._V1_SX300.jpg
The Spiral Staircase,7.6,6731,N/A,83,1945,Horror,Mystery,APPROVED,Robert Siodmak,Dorothy McGuire,George Brent,USA,"Mel Dinelli (screenplay), Ethel Lina White (novel)",N/A,1-Dec-45,tt0038975,"A serial killer (circa 1916) is targeting women with 'afflictions'; one night during a thunderstorm, mute Helen feels menaced.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTU1MDUxOF5BMl5BanBnXkFtZTcwNDM3NjYyMQ@@._V1_SX300.jpg
16 Years of Alcohol,6.3,1481,57,102,2003,Crime,Drama,R,Richard Jobson,Kevin McKidd,Laura Fraser,UK,Richard Jobson,4 wins & 9 nominations.,30-Jul-04,tt0331338,"16 years of alcohol is about a skinhead named Frankie; his violent childhood, alcoholism and his love for Ska.",http://ia.media-imdb.com/images/M/MV5BMjE3ODgwMTI4N15BMl5BanBnXkFtZTcwMDYwNjQzMQ@@._V1_SX300.jpg
Fantastic Four,5.7,270307,40,106,2005,Action,Adventure,PG-13,Tim Story,Ioan Gruffudd,Jessica Alba,USA,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",3 wins & 12 nominations.,8-Jul-05,tt0120667,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDMwM2NjOGEtZDE4ZS00MWFmLWIzNTgtN2Y2YjQ4MWIyNDM0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
Electric Apricot,7.1,527,50,92,2006,Comedy,Comedy,R,Les Claypool,Jonathan Korty,Adam Gates,USA,Les Claypool,N/A,N/A,tt0482499,"Electric Apricot is a spoof of jam bands centered around the band, Electric Apricot, in the style of ""This Is Spinal Tap"". The members of the band go by the assumed names, Steve Hampton ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMTQxNDM0M15BMl5BanBnXkFtZTcwMjI3MTU1MQ@@._V1_SX300.jpg
Jay and Silent Bob Strike Back,6.9,129847,51,104,2001,Comedy,Comedy,R,Kevin Smith,Jason Mewes,Kevin Smith,USA,"Kevin Smith (characters), Kevin Smith",1 win & 3 nominations.,24-Aug-01,tt0261392,"The comic 'Bluntman and Chronic' is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation they set out to wreck the movie.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmIwYjg1OGQtM2RiNy00YWFlLWI1NjQtZjUyODIzYjc0NDY1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Meet the Feebles,6.7,15986,N/A,97,1989,Comedy,Music,R,Peter Jackson,Danny Mulheron,Donna Akersten,New Zealand,"Fran Walsh, Stephen Sinclair, Danny Mulheron, Peter Jackson",4 wins & 1 nomination.,1-Sep-95,tt0097858,Multiple animals and insects experience the sleazier side of show business while working on a variety show.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5Mzg3NDAwNV5BMl5BanBnXkFtZTYwMTQ1MTg5._V1_SX300.jpg
Visions,5.3,6245,N/A,82,2015,Drama,Horror,R,Kevin Greutert,Isla Fisher,Anson Mount,USA,"L.D. Goffigan, Lucas Sussman (screenplay), Lucas Sussman",1 nomination.,19-Jan-16,tt2954474,"After moving to a vineyard to start a new life with her husband, a pregnant woman begins to experience terrifying visions.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTM4OTY3NTcwMV5BMl5BanBnXkFtZTgwMDY5MjE1NjE@._V1_SX300.jpg
Undercover Brother,5.8,29769,69,86,2002,Action,Comedy,PG-13,Malcolm D. Lee,Eddie Griffin,Chris Kattan,USA,"John Ridley (internet series), John Ridley (story), John Ridley (screenplay), Michael McCullers (screenplay)",1 win & 7 nominations.,31-May-02,tt0279493,"When ""The Man"" tries to derail a black candidate's presidential campaign, Undercover Brother and his fellow secret agents come to the rescue.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MjE3NzQ4N15BMl5BanBnXkFtZTYwNTA2Mzg5._V1_SX300.jpg
Notorious,8,74609,N/A,101,1946,Drama,Film-Noir,APPROVED,Alfred Hitchcock,Cary Grant,Ingrid Bergman,USA,Ben Hecht,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,6-Sep-46,tt0038787,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@._V1_SX300.jpg
Jack Frost,5.2,24705,N/A,101,1998,Comedy,Drama,PG,Troy Miller,Michael Keaton,Kelly Preston,USA,"Mark Steven Johnson (story), Mark Steven Johnson (screenplay), Steve Bloom (screenplay), Jonathan Roberts (screenplay), Jeff Cesario (screenplay)",1 nomination.,11-Dec-98,tt0141109,"A father, who can't keep his promises, dies in a car accident. One year later, he returns as a snowman, who has the final chance to put things right with his son before he is gone forever.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MTY3NDE0NF5BMl5BanBnXkFtZTcwNTc4NjEyMQ@@._V1_SX300.jpg
"Silent Night, Deadly Night 5: The Toy Maker",4.2,908,N/A,90,1991,Horror,Sci-Fi,R,Martin Kitrosser,William Thorne,Jane Higginson,USA,"Martin Kitrosser, Brian Yuzna",N/A,6-Nov-91,tt0105410,"An elderly toy maker and his son make killer toys designed to kill their customers, children.",http://ia.media-imdb.com/images/M/MV5BMjIwOGU4ZGQtYTM3YS00NjZiLWJhMTctN2Q3YWUwODJkZDIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Snakes on a Plane,5.6,116536,58,105,2006,Action,Adventure,R,David R. Ellis,Samuel L. Jackson,Julianna Margulies,Germany,"John Heffernan (screenplay), Sebastian Gutierrez (screenplay), David Dalessandro (story), John Heffernan (story)",3 wins & 7 nominations.,18-Aug-06,tt0417148,"An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDY3ODM2YTgtYTU5NC00MTE4LTkzNjktMzNhZWZmMzJjMWRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
